GET http://127.0.0.1:8000/ name=http://127.0.0.1:8000/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=404 len=3549 notes=8 sig=0xbef3ae7d
GET http://127.0.0.1:8000/admin/ name=admin type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=1 sig=0xffa27ac
GET http://127.0.0.1:8000/admin/auth/ name=auth type=dir linked=no browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=1 sig=0x9ce039cb
GET http://127.0.0.1:8000/admin/auth/user/ name=user type=dir linked=no browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=3 sig=0xfff9979a
GET http://127.0.0.1:8000/admin/bank/ name=bank type=dir linked=no browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=1 sig=0xfe077ffa
GET http://127.0.0.1:8000/admin/bank/przelew/ name=przelew type=dir linked=no browsers=0 browser_used=FAST dup=1 code=302 len=0 notes=3 sig=0xfff9979a
GET http://127.0.0.1:8000/admin/jsi18n/ name=jsi18n type=dir linked=no browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=2 sig=0xfffad56b
GET http://127.0.0.1:8000/admin/login/ name=login type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1806 notes=1 sig=0xd74b07c2
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=fQJxgxajlYqjo6H0NLu5CtaI0UG8P3njeGeu17u13qfykRGyeMo0Xsg9oWDxUz4A&username=Smith&password=skipfish&next=/admin/ name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/admin/login/?next=/admin/ name=next type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1819 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=fQJxgxajlYqjo6H0NLu5CtaI0UG8P3njeGeu17u13qfykRGyeMo0Xsg9oWDxUz4A&username=Smith&password=skipfish&next=/admin/ name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=fQJxgxajlYqjo6H0NLu5CtaI0UG8P3njeGeu17u13qfykRGyeMo0Xsg9oWDxUz4A&username=Smith&password=skipfish&next=/admin/ name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/admin/logout/ name=logout type=dir linked=no browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=1 sig=0xfffbffff
GET http://127.0.0.1:8000/bank/ name=bank type=dir linked=yes browsers=7 browser_used=FAST dup=0 code=200 len=189 notes=1 sig=0xab24ec6b
GET http://127.0.0.1:8000/bank/login name=login type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=646 notes=1 sig=0x955381e1
POST http://127.0.0.1:8000/bank/login DATA:csrfmiddlewaretoken=IOLzBn4ZqPSLfvckZokuZGaNWrclpNgTHEgwmXoH8hH0bgbSqpepkFgekt9KujXa&username=Smith&password=skipfish name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=660 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/bank/login DATA:csrfmiddlewaretoken=IOLzBn4ZqPSLfvckZokuZGaNWrclpNgTHEgwmXoH8hH0bgbSqpepkFgekt9KujXa&username=Smith&password=skipfish name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=660 notes=1 sig=0xffbed694
POST http://127.0.0.1:8000/bank/login DATA:csrfmiddlewaretoken=IOLzBn4ZqPSLfvckZokuZGaNWrclpNgTHEgwmXoH8hH0bgbSqpepkFgekt9KujXa&username=Smith&password=skipfish name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=660 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/bank/logout name=logout type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1207 notes=1 sig=0xdf011a37
GET http://127.0.0.1:8000/bank/password_reset name=password_reset type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1742 notes=1 sig=0x6113317b
POST http://127.0.0.1:8000/bank/password_reset DATA:csrfmiddlewaretoken=xQ2xwdJVJyPkWqvsLlYhlIPF1SqU1Gd2wGxuhN3Dr0EzSbu0cmScGHV6pUnj6cUj&email=skipfish@example.com name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/bank/password_reset DATA:csrfmiddlewaretoken=xQ2xwdJVJyPkWqvsLlYhlIPF1SqU1Gd2wGxuhN3Dr0EzSbu0cmScGHV6pUnj6cUj&email=skipfish@example.com name=email type=param linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/bank/przelew name=przelew type=file linked=yes browsers=7 browser_used=FAST dup=0 code=200 len=1163 notes=3 sig=0xb42ac14e
GET http://127.0.0.1:8000/bank/przelew/all name=all type=file linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=0 sig=0xfff7ffff
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=data type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=kwota type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=odbiorca type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=rachunek type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
POST http://127.0.0.1:8000/bank/przelew DATA:csrfmiddlewaretoken=5Q0KT1jUlAAmW6iyVnmG05eneSNrYFOo4GvHEBDC32pBSRh6mogBl4kOCUKQ3bvF&odbiorca=1&rachunek=1&kwota=1&data=1&tytul=1 name=tytul type=param linked=yes browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xffbed75f
GET http://127.0.0.1:8000/bank/signup name=signup type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1607 notes=1 sig=0x24cbf25
POST http://127.0.0.1:8000/bank/signup DATA:csrfmiddlewaretoken=67CccqMCR7RzziDRjB4rlAZWbx6GNyBB5X79X06kzzGOv3CpKCYmGz5nzz35S4iS&username=Smith&email=skipfish@example.com&password1=skipfish&password2=skipfish name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1745 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/bank/signup DATA:csrfmiddlewaretoken=67CccqMCR7RzziDRjB4rlAZWbx6GNyBB5X79X06kzzGOv3CpKCYmGz5nzz35S4iS&username=Smith&email=skipfish@example.com&password1=skipfish&password2=skipfish name=email type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1745 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/bank/signup DATA:csrfmiddlewaretoken=67CccqMCR7RzziDRjB4rlAZWbx6GNyBB5X79X06kzzGOv3CpKCYmGz5nzz35S4iS&username=Smith&email=skipfish@example.com&password1=skipfish&password2=skipfish name=password1 type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1745 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/bank/signup DATA:csrfmiddlewaretoken=67CccqMCR7RzziDRjB4rlAZWbx6GNyBB5X79X06kzzGOv3CpKCYmGz5nzz35S4iS&username=Smith&email=skipfish@example.com&password1=skipfish&password2=skipfish name=password2 type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1745 notes=0 sig=0x1f2982c4
POST http://127.0.0.1:8000/bank/signup DATA:csrfmiddlewaretoken=67CccqMCR7RzziDRjB4rlAZWbx6GNyBB5X79X06kzzGOv3CpKCYmGz5nzz35S4iS&username=Smith&email=skipfish@example.com&password1=skipfish&password2=0 name=0 type=value linked=no browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xff7fffff
