GET http://127.0.0.1:8000/ name=http://127.0.0.1:8000/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=404 len=3549 notes=4 sig=0x7d83af06
GET http://127.0.0.1:8000/admin/ name=admin type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=1 sig=0xfe065822
GET http://127.0.0.1:8000/admin/login/ name=login type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1806 notes=1 sig=0xd74807c2
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=4mdnjqPTzfwMuB4teMsDKnuUMggWmOWbyg5dVzJdkztlNL4Ms1kQymsUXnE8j3vi&username=Smith&password=skipfish&next=/admin/ name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/admin/login/?next=/admin/ name=next type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1819 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=4mdnjqPTzfwMuB4teMsDKnuUMggWmOWbyg5dVzJdkztlNL4Ms1kQymsUXnE8j3vi&username=Smith&password=skipfish&next=/admin/ name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=1 sig=0xffbed694
POST http://127.0.0.1:8000/admin/login/ DATA:csrfmiddlewaretoken=4mdnjqPTzfwMuB4teMsDKnuUMggWmOWbyg5dVzJdkztlNL4Ms1kQymsUXnE8j3vi&username=Smith&password=skipfish&next=/admin/ name=username type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1967 notes=0 sig=0xffbfffff
GET http://127.0.0.1:8000/login/ name=login type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=574 notes=1 sig=0x955e8051
POST http://127.0.0.1:8000/login/ DATA:csrfmiddlewaretoken=06lufkt39gb50YcoJcVWt2MjiniK1MQXrtKsGIE6Cc50iEQXWuv9KRaj0bPs1uTs&username=Smith&password=skipfish name=csrfmiddlewaretoken type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=588 notes=0 sig=0xffbfffff
POST http://127.0.0.1:8000/login/ DATA:csrfmiddlewaretoken=06lufkt39gb50YcoJcVWt2MjiniK1MQXrtKsGIE6Cc50iEQXWuv9KRaj0bPs1uTs&username=Smith&password=skipfish name=password type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=588 notes=1 sig=0xc5a6d1a7
POST http://127.0.0.1:8000/login/ DATA:csrfmiddlewaretoken=06lufkt39gb50YcoJcVWt2MjiniK1MQXrtKsGIE6Cc50iEQXWuv9KRaj0bPs1uTs&username=Smith&password=0 name=0 type=value linked=no browsers=0 browser_used=FAST dup=0 code=403 len=2513 notes=1 sig=0xff7fffff
POST http://127.0.0.1:8000/login/ DATA:csrfmiddlewaretoken=06lufkt39gb50YcoJcVWt2MjiniK1MQXrtKsGIE6Cc50iEQXWuv9KRaj0bPs1uTs&username=Smith&password=000 name=000 type=value linked=no browsers=0 browser_used=FAST dup=1 code=403 len=2513 notes=1 sig=0xff7fffff
POST http://127.0.0.1:8000/login/ DATA:csrfmiddlewaretoken=06lufkt39gb50YcoJcVWt2MjiniK1MQXrtKsGIE6Cc50iEQXWuv9KRaj0bPs1uTs&username=Smith&password=0px name=0px type=value linked=no browsers=0 browser_used=FAST dup=1 code=403 len=2513 notes=1 sig=0xff7fffff
